"wave","include_random_effects","length","measure","pearson_cor_value","pearson_cor_df","pearson_cor_p","pearson_cor_95_conf_lower","pearson_cor_95_conf_upper"
1,TRUE,7,"active_engagement",0.19571489117043,69,0.101899845167286,-0.0393873073293512,0.410284613387646
1,TRUE,8,"active_engagement",0.253141311064747,69,0.0331740694251759,0.0210826959955851,0.459318254199704
1,TRUE,9,"active_engagement",0.300548398113014,69,0.0108750413007152,0.0723153485624238,0.498871714717866
1,TRUE,10,"active_engagement",0.282897453397409,69,0.0168264275643034,0.0530982592455941,0.484240795138951
1,TRUE,11,"active_engagement",0.316734173496113,69,0.00712075121925084,0.0900874774803603,0.512189526574558
1,TRUE,12,"active_engagement",0.323420251710331,69,0.00593818830860577,0.0974712236751976,0.51766359995646
1,TRUE,13,"active_engagement",0.346976768125225,69,0.00303202838890018,0.123685495594046,0.536824069984998
1,TRUE,14,"active_engagement",0.369925728514773,69,0.00149748915001161,0.149526923629965,0.555303927272716
1,TRUE,15,"active_engagement",0.359295146806054,69,0.00208959164928153,0.137518922582921,0.546766254599784
1,TRUE,16,"active_engagement",0.347096068510192,69,0.00302132746973839,0.123819053941138,0.536920611044666
1,TRUE,17,"active_engagement",0.350906700906701,69,0.0026967665219399,0.12808936711242,0.540001663250477
1,TRUE,18,"active_engagement",0.342146579633529,69,0.00349470217254291,0.118284822022013,0.532911172501444
1,TRUE,19,"active_engagement",0.347014418281065,69,0.00302864762735464,0.123727644564106,0.536854538034173
1,TRUE,20,"active_engagement",0.352037718316692,69,0.00260662577114824,0.129358412403855,0.54091516282007
1,TRUE,21,"active_engagement",0.358103899393168,69,0.00216757593608895,0.136177373173949,0.545807100260156
1,TRUE,22,"active_engagement",0.349759181981088,69,0.00279105919814773,0.126802551751834,0.539074380222593
1,TRUE,23,"active_engagement",0.349853271152966,69,0.00278321844658761,0.12690803409961,0.539150428743283
1,TRUE,24,"active_engagement",0.329920891683773,69,0.00495796894354958,0.104674109737162,0.522970646323784
1,TRUE,25,"active_engagement",0.323459168499434,69,0.0059318454441271,0.0975142742242866,0.517695415703116
1,TRUE,1,"perceptual_abilities",0.186394459765073,69,0.119616878493386,-0.0490419376810997,0.40220758428198
